"","deputy_name","deputy_state","political_party","refund_description","company_name","company_id","refund_date","refund_value"
"13","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO DISBRAVE IMPERIAL LTDA",10750039000200,"2016-03-28T00:00:00",160.05
"14","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO DE COMBUSTIVEIS NEVES LTDA",861323000170,"2016-08-04T00:00:00",30
"15","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO DE COMBUSTIVEIS NEVES LTDA",861323000170,"2016-02-14T00:00:00",50
"16","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO DA TORRE EIRELI EPP",4473193000160,"2016-10-17T00:00:00",150
"17","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","Petroil Combustíveis Ltda.",2072286000650,"2016-07-13T00:00:00",50
"18","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO JT COMERCIO DE DERIVADOS DE PETROLEO LTDA",37128477000200,"2016-10-09T00:00:00",100
"19","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","CASCOL COMBUSTIVEIS PARA VEICULOS LTDA",306597006995,"2016-03-02T00:00:00",50
"20","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","PETROIL COMBUSTIVEIS LTDA",2072286000650,"2016-05-16T00:00:00",150
"21","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","Cascol Combustíveis para Veículos Ltda.",306597004518,"2016-06-27T00:00:00",100.31
"22","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","COMERCIAL DE COMB. CIDADE JARDIM LTDA",2377962000190,"2016-01-28T00:00:00",182.7
"23","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","CASCOL COMBUSTIVEIS PARA VEICULOS LTDA",306597005085,"2016-07-11T00:00:00",150
"24","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","EUROPOSTO COM. DE COMB. E DERIV. DE PETROLEO LTDA",5689667000170,"2016-11-19T00:00:00",199.41
"25","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","COMERCIAL DE COMBUSTIVEIS CIDADE JARDIM LTDA",2377962000190,"2016-12-20T00:00:00",100
"26","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","ESR-COMERCIO DE COMBUSTIVEIS E SERVIÇOS LTDA",883436000176,"2016-11-17T00:00:00",50
"27","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","ECOPOSTOS COMBUSTIVEIS E SERVIÇOS LTDA",4420464000370,"2016-11-08T00:00:00",100
